x,y
-356.61,-288.51
-285.58,-283.07
-216.6,-281.91
-166.41,-281.91
-153.07,-309.43
-139.93,-333.08
-124.17,-354.97
-99.65,-371.6
-67.25,-369.85
-33.1,-343.58
11.55,-308.56
64.97,-263.9
100.87,-263.02
178.04,-261.36
231.1,-263.48
286.28,-270.91
353.13,-283.64
345.7,-280.46
288.4,-268.79
231.1,-261.36
178.04,-261.36
135.6,-258.18
133.47,-225.28
124.99,-199.81
111.19,-187.08
89.97,-181.78
66.62,-181.78
68.75,-198.75
70.87,-230.59
68.75,-260.3
68.75,-247.56
70.87,-214.67
66.62,-181.78
51.77,-188.14
27.36,-198.75
4.02,-212.55
-21.45,-231.65
-43.73,-248.63
-62.83,-262.42
-75.57,-264.54
-85.12,-247.56
-91.48,-225.28
-87.24,-235.89
-80.87,-257.11
-67.08,-265.6
-51.16,-253.93
-33.12,-240.14
-11.9,-227.4
5.08,-216.79
26.3,-201.94
48.58,-190.26
48.58,-162.67
27.36,-162.67
1.9,-164.8
15.69,-163.74
45.4,-162.67
70.87,-160.55
99.52,-156.31
122.86,-151
138.78,-136.15
149.39,-117.05
151.51,-95.82
130.29,-104.31
105.89,-112.8
76.17,-115.99
43.28,-117.05
4.02,-117.05
-24.63,-110.68
-54.34,-105.37
-80.87,-89.46
-96.79,-65.05
-110.58,-39.58
-122.8,-7.46
-149.85,-6.69
-134.99,-6.69
-115.8,-3.48
-104.22,3.92
-120.13,-4.57
-120.13,-15.18
-110.58,-41.71
-94.67,-65.05
-78.75,-90.52
-53.28,-105.37
-23.57,-112.8
7.2,-119.17
44.34,-118.11
77.23,-115.99
108.01,-110.68
132.41,-103.25
152.57,-92.64
185.47,-73.54
215.18,-43.83
235.34,-16.24
250.2,12.41
267.97,53.99
273.35,81.4
276.3,104.77
267.97,121.44
252.11,132.8
234.74,138.29
231.99,114.52
236.57,92.58
247.54,67.89
258.51,44.12
253.02,56.01
240.22,83.44
232.91,110.86
234.74,137.38
205.48,140.12
157.94,145.6
124.11,151.09
75.66,152.92
42.74,152
47.14,166.06
62.86,174.86
79.31,174.86
95.77,166.63
96.69,151.09
64.69,152
42.74,151.09
32.44,166.06
19.22,185.9
-5.75,180.02
-32.2,171.2
-30.73,155.04
-27.79,139.62
-37.34,125.66
-38.81,106.56
-39.55,81.58
-35.87,58.81
-37.34,72.03
-39.55,95.54
-38.08,124.92
-29.26,138.88
-16.04,138.88
-5.75,126.39
0.12,109.5
0.86,91.87
4.53,71.3
3.06,83.79
0.12,108.03
-10.16,132.27
-18.98,141.08
-29.26,141.82
-30.73,154.31
-32.2,170.47
-63.79,160.18
-86.56,148.43
-113.01,133
-107.13,105.82
-95.38,67.62
-80.68,34.57
-60.85,14.73
-30.73,14.73
2.33,29.43
33.18,49.26
48.61,77.91
48.61,100.68
46.4,124.19
40.53,149.9
33.18,167.53
17.75,186.63
-5.02,180.02
-31.47,171.2
-63.79,160.92
-88.27,197.65
-117.7,254.06
-143.04,303.92
-168.38,340.71
-199.85,385.67
-198.06,344.31
-192.66,313.73
-174.68,300.25
-153.99,278.66
-118.02,254.38
-101.84,225.61
-77.56,176.15
-100.04,178.85
-121.62,187.84
-154.89,212.12
-178.27,225.61
-185.47,257.98
-193.56,310.14
-190.86,293.95
-187.26,257.08
-176.47,195.93
-176.47,168.06
-171.08,123.09
-166.58,97.92
-137.81,109.61
-109.93,119.5
-113.53,133.89
-136.91,144.68
-158.49,157.27
-175.57,168.06
-173.78,140.18
-166.58,99.71
-181.87,84.43
-201.65,70.94
-219.64,55.65
-239.42,60.15
-261,60.15
-268.64,68.7
-281.09,69.65
-302.37,63.74
-292.48,77.23
-280.79,82.63
-259.2,94.32
-234.92,99.71
-211.54,101.51
-228.63,115.9
-247.51,122.2
-265.5,123.09
-281.69,117.7
-266.4,132.09
-247.51,142.88
-224.13,149.17
-198.95,151.87
-171.98,142.88
-171.08,120.4
-166.58,95.22
-144.1,108.71
-113.53,120.4
-108.13,104.21
-126.12,92.52
-147.7,75.43
-174.68,55.65
-199.85,36.77
-219.64,54.75
-240.32,61.05
-260.1,59.25
-282.58,39.46
-297.87,16.08
-311.36,-9.99
-318.55,-39.67
-315.86,-71.14
-310.46,-102.62
-292.48,-119.7
-261.9,-121.5
-233.46,-117.46
-208.27,-108.48
-188.16,-104.41
-206.69,-108.22
-208.85,-81.03
-205.25,-52.26
-202.55,-28.88
-197.16,-8.2
-215.14,1.7
-234.92,10.69
-259.2,2.6
-272.69,-18.09
-277.19,-40.57
-278.09,-64.85
-264.6,-82.83
-244.82,-85.53
-225.93,-83.73
-207.95,-82.83
-208.56,-111.63
-205.01,-150.73
-197.9,-184.85
-189.37,-215.41
-178,-252.38
-170.89,-277.25
-194.35,-278.68
-217.8,-279.39
-229.18,-277.25
-219.94,-260.2
-214.96,-236.74
-217.8,-215.41
-229.89,-223.94
-246.24,-231.76
-241.26,-215.41
-231.31,-196.22
-228.47,-179.87
-227.05,-162.81
-236.29,-169.21
-250.5,-174.9
-241.26,-153.57
-235.57,-135.09
-233.44,-117.32
-209.35,-108.79
-207.14,-135.09
-204.3,-157.84
-197.19,-185.56
-190.79,-216.83
-180.84,-246.69
-171.6,-275.12
-195.06,-277.97
-229.18,-280.1
-267.56,-280.81
-303.81,-281.52
-324.43,-280.81
-345.64,-283.44
