x,y
-43.38,-35.7
-42.67,-32.69
-41.38,-29.25
-39.51,-25.38
-39.51,-19.21
-37.21,-13.36
-31.09,-5.79
-27.48,1.78
-23.16,6.47
-18.47,9.71
-17.75,16.56
-24.96,19.44
-33.61,25.93
-43.7,32.06
-54.52,35.66
-63.53,39.63
-72.9,43.59
-82.63,48.64
-92.72,55.49
-102.46,61.62
-112.19,65.58
-123,66.3
-133.81,63.06
-129.85,69.55
-119.04,74.59
-106.42,74.59
-93.08,68.47
-81.55,63.06
-69.65,58.73
-53.07,56.93
-39.02,56.57
-8.74,55.85
4.96,60.54
21.54,63.78
38.48,65.94
54.34,68.47
65.15,68.47
74.88,64.86
86.06,62.34
96.15,69.19
104.8,74.95
113.81,74.23
119.22,69.91
125.71,67.74
128.23,61.62
136.16,56.57
144.45,52.25
148.05,47.92
146.61,41.07
144.09,32.78
139.69,33.95
136.82,32.04
132.76,29.65
133.24,33.71
132.28,37.3
130.42,34.86
128.27,32.42
128.13,36.87
125.98,35
125.12,37.01
123.23,36.06
122.8,38.35
118.01,38.36
116.86,35.19
115.93,32.51
118.46,27.57
120.6,25.84
122.74,25.97
121.57,24.35
124.22,24.25
123.41,22.01
121.88,20.38
124.51,20.5
127.27,20.5
125.52,17.59
129.01,18.46
127.8,15.67
127.18,11.74
124.5,9.67
120.98,7.4
116.23,7.4
108.37,11.33
104.65,16.29
100.75,24.35
95.25,29.63
91.29,29.85
87.34,27.43
83.2,26.55
82.23,20.74
81.99,17.11
85.38,12.52
89.73,6.71
89.41,0.41
87.93,-6.01
82.36,-7.08
84,-5.25
82.22,-3
84.71,-1.22
81.72,-0.76
85.05,1.22
83.73,5.7
77.93,9.77
74.44,14.12
73.84947863,19.46518295
69.49728176,19.05068801
61.20738295,17.18546078
65.55957982,13.04051138
70.32627164,10.76078921
76.33644827,6.823087272
78.2016755,2.885385338
76.63789914,0.530300449
75.69586518,3.167995524
72.86976332,4.675249853
73.05817011,1.849147987
72.86976332,-2.295801417
70.79728861,0.530300449
68.34800033,2.41436836
66.46393242,-0.600140297
64.01464413,-1.353767462
64.7682713,5.8056906
61.75376264,9.197012839
58.73925398,10.51586038
57.98562682,3.544809107
55.15952495,-3.614648955
53.08705025,-8.513225523
50.07254159,-13.60020888
46.86962615,-17.93356508
45.36237182,-23.39736202
44.04352428,-28.48434538
44.60874465,-32.81770157
48.18847368,-36.77424419
53.08705025,-39.60034605
56.85518607,-41.48441396
59.11606757,-43.74529546
63.82623734,-44.31051583
67.78277996,-45.25254979
70.42047503,-48.26705844
73.05817011,-50.90475352
72.30454294,-55.61492329
69.10162749,-53.73085538
64.39145772,-55.23810971
60.24650831,-55.80333009
57.23199966,-52.78882143
56.85518607,-56.93377083
55.53633854,-60.32509307
53.46386383,-57.31058441
48.00006689,-58.25261837
45.17396503,-55.61492329
41.02901562,-52.41200785
39.3333545,-48.45546523
36.31884584,-48.83227882
34.99999831,-52.41200785
33.30433719,-51.09316031
33.86955756,-45.81777016
34.05796435,-42.04963434
28.40576062,-36.02061702
27.65213345,-30.55682008
30.28982853,-24.90461635
31.98548965,-14.35383605
32.17389644,-4.55668291
35.37681189,2.225961569
30.8550489,5.8056906
25.95647233,8.820199257
17.66657353,8.443385675
12.39118338,9.008606048
7.86942039,10.70426717
4.96607174,4.942787496
1.546488482,-2.124351237
-3.468900297,-7.367712233
-10.53603903,-11.92715658
-16.6912889,-15.34673984
-23.98639985,-18.99429531
-23.07451098,-24.23765631
-24.44234428,-29.4810173
-19.88289994,-34.26843386
-16.46331668,-39.9677393
-12.54992925,-41.00953064
-10.97243137,-43.01725522
-7.96084449,-44.45134421
-6.813573299,-47.17611329
-7.100391096,-50.04429127
-9.10811568,-47.89315779
-11.83288476,-48.17997558
-15.13128943,-49.75747347
-18.14287631,-49.47065567
-17.42583182,-52.62565145
-18.28628521,-55.63723833
-20.86764539,-52.48224255
-24.88309456,-52.76906035
-27.75127253,-51.19156246
-29.75899712,-47.60633999
-31.9101306,-45.02497981
-35.63876197,-45.7420243
-36.35580647,-49.04042898
-37.35966876,-52.48224255
-39.94102894,-53.19928705
-41.66193572,-54.77678493
-43.52625141,-53.34269594
-44.5301137,-51.04815356
-44.8169315,-47.89315779
-43.66966031,-44.16452642
-42.80920692,-41.58316624
-43.66966031,-38.71498826
