x,y
-366.22,-283.54
-322.74,-282.07
-280.73,-280.6
-237.79,-278.45
-196.64,-276.66
-171.65,-279.12
-163.54,-295.34
-154.33,-313.88
-143.2,-330.58
-130.48,-348.87
-115.37,-360.8
-95.49,-369.55
-73.23,-367.16
-46.19,-348.87
-11.2,-319.45
26.96,-290.03
64.34,-265.38
92.96,-261.4
119.91,-259.48
161.54,-258.24
207.53,-261.4
260.48,-262.37
317.08,-271.89
347.43,-269.62
349.06,-271.03
319.36,-269.62
279.9,-266.58
230.58,-261.27
185.82,-257.48
133.46,-256.72
131.47,-246
127.62,-220
116.06,-195.94
98.73,-182.46
82.37,-179.57
63.11,-180.53
63.11,-192.08
65.04,-205.56
65.04,-235.41
63.11,-256.59
58.68,-253.54
61.19,-239.6
63.25,-219.96
62.33,-204.66
60.12,-179.2
50.49,-181.62
28.42,-190.44
-3.09,-213.13
-24.53,-227.63
-45.96,-244.02
-68.65,-258.52
-80,-262.93
-87.56,-250.96
-93.23,-233.31
-95.76,-217.55
-92.01,-216.74
-89.54,-230.51
-84.2,-250.24
-77.42,-260.92
-62.7,-254.81
-41.01,-237.13
-16.42,-218.69
12.01,-200.24
25.07,-194.1
40.44,-183.34
44.28,-177.19
45.05,-166.44
43.52,-157.22
35.06,-156.45
23.54,-157.98
9.71,-161.83
-9.94,-163.47
-9.38,-156.73
0.72,-156.17
15.87,-155.61
29.91,-153.93
48.99,-156.17
64.7,-157.29
85.47,-154.49
115.22,-146.63
132.06,-137.09
142.72,-122.5
150.58,-111.27
155.07,-96.68
149.45,-91.07
137.11,-94.43
107.36,-106.22
75.37,-111.83
48.43,-113.52
14.75,-114.08
-22.29,-110.71
-58.21,-100.61
-85.71,-84.89
-100.87,-63
-114.9,-41.11
-122.76,-23.15
-128.37,-5.75
-138.32,-4.33
-149.57,-4.8
-156.59,-3.86
-153.31,-2.92
-144.41,-3.39
-133.64,-2.92
-126.61,-0.58
-120.52,3.17
-112.56,9.26
-109.28,7.85
-120.52,1.29
-127.55,-4.33
-126.61,-12.29
-116.3,-33.37
-106.47,-53.52
-93.35,-73.66
-73.67,-94.74
-44.63,-104.11
-9.02,-111.61
28.46,-113.48
60.64,-111.49
92.96,-108.2
126.92,-96.7
165.07,-82.69
201.33,-51.04
223.74,-26.65
240.88,5
255.39,33.35
263.3,61.7
273.85,94
271.87,111.81
261.98,126.31
250.77,134.88
236.27,142.13
231.65,133.56
229.02,122.35
231.6,102.38
237.59,84.77
249.45,61.04
254.73,49.83
248.14,53.79
240.22,74.23
231.6,95.66
229.02,115.1
231.08,139.59
224.88,143.21
207.31,144.76
187.41,147.46
137.85,153.73
109.93,155.44
91.13,156.58
90.56,165.12
86.58,175.38
75.75,178.23
63.22,178.23
48.41,175.38
37.01,169.11
33.59,162.27
35.46,153.95
50.68,152.59
67.21,155.44
86.58,156.01
87.15,151.45
68.92,150.88
51.82,150.88
37.09,148.15
40.35,125.7
42.35,101.03
40.7,71.43
30.3,54.26
1.97,33.88
-25.02,23.61
-50.55,15.68
-71.67,21.26
-92.14,49.64
-107.09,88.6
-113.22,120.95
-115.91,139.57
-111.99,143.02
-72.72,161.54
-15.49,181.73
14.1,188.9
20.47,185.26
32.31,162.8
19.56,184.65
13.33,188.53
-19.01,181.6
-50.46,169.52
-48.15,167.56
-40.96,156.31
-34.11,144.66
-42.43,124.86
-45.02,97.9
-40.91,64.98
-37.02,64.34
-41.61,84.23
-43.85,111.2
-40.13,132.62
-30.84,145.52
-22.81,144.61
-15.97,137.78
-9.13,124.67
-3.44,102.46
0.55,85.93
-0.02,74.54
-2.87,79.67
-7.42,103.03
-10.27,125.81
-17.11,141.2
-26.22,146.89
-35.91,146.89
-39.57,153.32
-44.27,161.34
-48.44,170.82
-55.28,170.25
-60.98,167.97
-71.23,166.83
-80.78,178.8
-112.87,240.65
-144.97,300.93
-177.41,352.15
-204.82,389.53
-202.33,352.98
-188.21,264.09
-184.06,196.81
-179.9,158.6
-174.09,130.35
-172.43,107.1
-168.27,100.45
-147.51,110.42
-132.55,118.72
-116.77,122.88
-116.77,110.42
-125.91,102.94
-140.03,88.82
-156.64,75.53
-176.58,61.41
-194.86,40.64
-208.15,41.47
-225.59,53.1
-244.7,63.07
-263.8,63.9
-274.6,70.55
-290.05,70.94
-305.34,66.39
-297.86,79.68
-285.71,85.21
-266.48,92.65
-247.88,99.47
-233.61,105.05
-214.39,103.81
-228.03,118.08
-240.43,123.66
-255.94,126.76
-272.68,126.76
-284.47,121.8
-273.92,134.2
-257.18,145.98
-242.3,150.95
-223.69,154.67
-200.12,154.67
-180.28,148.46
-177.8,136.68
-174.7,118.7
-172.84,100.09
-179.04,93.89
-188.96,83.97
-199.5,75.9
-211.91,64.74
-223.07,52.96
-235.47,56.68
-242.3,57.92
-255.94,62.88
-276.72,52.55
-294.76,28.87
-311.59,1.34
-323.06,-30.02
-323.82,-63.67
-316.17,-99.62
-297.05,-116.45
-268.76,-119.51
-228.22,-111.09
-207.57,-103.45
-209.1,-91.97
-211.39,-75.15
-209.1,-38.43
-202.22,-11.67
-205.27,-4.02
-223.63,3.63
-241.99,13.57
-264.17,3.63
-277.17,-14.73
-281.76,-51.44
-275.64,-73.62
-255.75,-84.32
-229.75,-79.74
-213.69,-77.44
-209.86,-91.21
-208.33,-104.98
-212.53,-123.36
-206.51,-157.95
-195.98,-204.57
-181.7,-251.94
-173.43,-273.74
-181.91,-273.99
-199.71,-274.61
